F3-WTG-02,F3-WTG-04
1,100
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
5,1
5,1
5,1
5,1
5,2
5,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,1
1,1
1,1
1,2
1,2
1,2
1,2
5,2
5,2
5,2
5,5
5,5
5,5
1,5
1,5
1,5
5,5
5,5
5,5
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
1,1
1,1
1,1
1,1
1,2
3,2
3,2
3,2
3,2
3,2
5,2
5,2
5,2
5,5
5,5
3,3
3,3
3,3
3,5
3,5
3,5
3,5
3,5
5,3
5,3
5,3
1,3
1,1
1,1
1,1
1,4
1,4
1,4
1,4
1,5
1,5
1,5
1,5
1,5
1,4
1,4
1,4
1,2
1,2
1,2
1,2
1,5
1,5
1,5
1,5
5,5
5,5
5,3
5,3
5,3
5,3
5,3
5,5
5,5
0,5
